GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00014450	3	1	1	4	5	2	3	4
WBGene00014451	3	1	8	5	15	4	3	4
WBGene00010957	53	19	210	198	365	65	78	79
WBGene00010958	43	16	282	343	454	68	72	91
WBGene00014452	5	4	112	148	125	13	9	29
WBGene00014453	8	2	52	71	66	9	7	24
WBGene00014454	10633	10216	657	575	1606	797	1172	964
WBGene00014455	3	1	5	3	3	1	2	1
WBGene00014456	3	1	5	3	6	2	2	2
WBGene00014457	3	1	5	5	6	1	2	3
WBGene00010959	478	67	113	84	138	25	19	34
WBGene00010960	43	22	155	150	246	31	25	37
WBGene00014458	5	2	31	19	59	11	11	8
WBGene00014459	3	2	30	23	37	7	12	7
WBGene00014460	13	2	33	31	53	7	9	7
WBGene00010961	46	19	138	194	204	32	43	48
WBGene00014461	5	4	18	29	29	7	5	9
WBGene00014462	8	2	10	29	43	6	2	13
WBGene00014463	38	12	76	100	130	21	16	24
WBGene00014464	25	11	59	68	108	18	17	22
WBGene00000829	185	50	267	291	400	56	40	62
WBGene00014465	8	3	13	11	20	4	3	4
WBGene00010962	129	60	393	585	592	93	72	102
WBGene00014466	15	8	111	142	173	28	14	22
WBGene00010963	301	94	949	959	1159	196	190	227
WBGene00010964	174	123	145	172	269	48	44	49
WBGene00014467	3	1	17	14	25	6	8	4
WBGene00014468	3	1	14	13	26	4	7	6
WBGene00014469	3	1	4	3	14	1	3	3
WBGene00014470	8	2	47	58	54	9	11	15
WBGene00010965	56	25	138	159	198	33	38	46
WBGene00014471	5	1	17	20	31	4	7	11
WBGene00014472	2108	2463	185	227	355	154	259	223
WBGene00010966	18	10	98	98	189	16	25	29
WBGene00010967	88	49	222	253	423	43	55	51
WBGene00014473	5	5	40	20	71	9	12	6
WBGene00021406	53	10	8	13	9	1	3	2
WBGene00021407	15	10	13	10	15	1	3	2
WBGene00021408	15	2	5	9	5	1	3	3
WBGene00021405	13	2	22	16	26	5	3	7
WBGene00021409	13	2	22	16	26	5	3	7
WBGene00021404	15	2	5	9	5	1	3	3
WBGene00001492	68	14	12	13	9	1	4	2
WBGene00021403	15	9	13	10	15	1	3	2
WBGene00195502	104	36	69	46	51	21	14	21
WBGene00235257	8	1	7	8	5	1	1	1
WBGene00235258	3	1	1	1	2	1	1	1
WBGene00166500	3	1	3	1	2	1	1	1
WBGene00235260	3	4	4	1	2	2	1	1
WBGene00235259	5	1	3	3	5	1	1	1
WBGene00023131	5	1	1	1	2	1	1	1
WBGene00235261	3	1	1	1	5	1	1	1
WBGene00235262	8	2	1	1	3	1	1	1
WBGene00201447	3	1	1	1	2	1	1	1
WBGene00015246	63	14	30	38	34	7	7	6
WBGene00006599	23	12	13	18	11	4	4	2
WBGene00015247	30	10	20	9	28	2	4	6
WBGene00017927	56	26	18	14	17	7	5	6
WBGene00001111	8	2	3	3	2	1	1	1
WBGene00023277	28	12	9	13	12	4	1	1
WBGene00017928	25	6	4	9	9	1	1	2
WBGene00017929	30	2	4	4	6	1	1	1
WBGene00196821	10	1	1	1	2	1	1	1
WBGene00017926	8	2	1	3	2	1	1	1
WBGene00000897	46	17	27	23	19	4	3	8
WBGene00000674	46	10	5	4	5	1	1	1
WBGene00198932	3	1	1	1	2	1	1	1
WBGene00202431	119	1	1	5	9	1	1	1
WBGene00023019	5	2	3	4	2	1	1	1
WBGene00197291	5	1	1	3	2	1	1	1
WBGene00198551	3	1	1	1	2	1	1	1
WBGene00199863	5	1	1	1	2	1	1	1
WBGene00021400	5	1	1	3	2	1	1	1
WBGene00021398	20	1	1	1	3	1	1	1
WBGene00219750	3	1	1	3	2	1	1	1
WBGene00021397	8	1	1	1	5	1	1	1
WBGene00021396	10	2	1	1	5	1	1	1
WBGene00198224	8	1	1	1	3	1	1	1
WBGene00006561	334	2	5	5	8	1	3	2
WBGene00021395	13	2	8	8	8	4	1	3
WBGene00196851	3	1	1	3	3	1	1	1
WBGene00021402	20	4	4	4	5	6	3	3
WBGene00000815	18	2	3	3	5	2	1	1
WBGene00044736	5	1	3	4	9	1	1	1
WBGene00195063	13	2	5	9	8	2	1	2
WBGene00021394	13	3	5	5	11	1	2	2
WBGene00021401	5	2	1	3	3	1	1	1
WBGene00019821	13	5	1	6	6	4	1	1
WBGene00019822	8	6	1	3	5	1	3	2
WBGene00019823	18	4	5	4	6	2	1	1
WBGene00019820	33	6	51	65	26	2	3	2
